"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"6BD74D19-47C6-4F2F-9DB4-CA06C7EC0BC8","ANDERSON FARM","8435 FRANKTOWN ROAD","OTTAWA","ON","K0A 1B0","","","+16138366080"
"9876018E-CE73-42ED-B392-DDB717D155D7","KNOX UNITED CHURCH","25 GIBBARD AVENUE","OTTAWA","ON","K2M 2W2","","",""
"1472C273-7C4B-43C9-878D-AEFABB28EE40","WINE VILLA","471 HAZELDEAN ROAD","OTTAWA","ON","K2L 4B8","","","+16138369232"
"93BAEC82-E9B1-407B-9152-56BBF8E1A5BF","DEFALCO'S","435  MOODIE DRIVE","OTTAWA","ON","K2H 5Z1","","","+16137219945"
"84391E43-E734-4F3A-9B3D-6D806DF7B1C9","LAM AND SON FOODS","245 WESTBROOK ROAD","OTTAWA","ON","K0A 1L0","","",""
"256534BD-45CA-4B52-90E1-4E371B8C8518","WINE KITZ","2730 IRIS STREET","OTTAWA","ON","K2C 1E6","","","+16138288845"
"318CC760-7E9B-4C3D-A7EA-F40B0C6C6B81","BON O CLAIR","1401  BLAIR PLACE","OTTAWA","ON","K1J 1A5","","",""
"294AAD92-7D4A-46F8-8149-DFCA0927334C","AQUALIFE","5929 JEANNE D'ARC BOULEVARD","OTTAWA","ON","K1C 6V8","","",""
"49C65A76-BEE1-4892-9C1A-E434176E6F53","RHODES CANDY","4107  BELGREEN DRIVE","OTTAWA","ON","K1G 3N2","","","+16137399184"
"44390007-CF20-4896-AD98-E821836032A0","WINE GARDEN","1977 ST. JOSEPH BOULEVARD","OTTAWA","ON","K1C 1G7","","",""
"706A24CA-6B04-4DB3-B5E4-F214D36C7EDD","CRERAR'S HONEY LTD.","8214  BANK STREET","OTTAWA","ON","K0A 3J0","","","+16138212133"
"F43AD079-A0FF-40DC-9458-D5D4FD1889BC","PRET A MANGER","1665 CYRVILLE ROAD","OTTAWA","ON","K1B 3L7","","","+16138382828"
"5D3422A2-A8BD-47F4-9A74-ADC18A90A89D","BENTO NOUVEAU","2675 BLACKWELL STREET","OTTAWA","ON","K1B 4E4","","","+16137476660"
"662BEE43-CFA0-4DB3-BEA0-874A7256A54F","WINE KITZ","3095  ST. JOSEPH BOULEVARD","OTTAWA","ON","K1E 3W6","","","+16138418197"
"78866895-AC59-4642-B50E-A678F81F68D5","GLOUCESTER FINE FOODS","1228 OLD INNES ROAD","OTTAWA","ON","K1B 3V3","","","+16137498878"
"CF67AF06-523C-4231-AC01-5ACD276EE514","DOMAINE PERRAULT INC","1000  PERRAULT ROAD","OTTAWA","ON","K4B 1H8","","","+16138352520"
"79FC6C22-DE1B-4E12-84B5-C1C4AB428B53","TASTE OF AFRICA","2555 BLACKWELL STREET","OTTAWA","ON","K1B 4E4","","",""
"B6ECC256-6F4F-4FCF-8A04-57799C42D005","HOP'N VINE","5350 CANOTEK ROAD","OTTAWA","ON","K1J 9E3","","","+16137481374"
"1FDDD041-C5AC-4145-8860-A07245C44979","WINE RACK ","277  ELGIN STREET","OTTAWA","ON","K2P 1M1","","","+16132367035"
"DE279BBF-DF7D-4998-BC6E-58E7D8715D6D","DELISSE","17 ENTERPRISE AVENUE","OTTAWA","ON","K2G 0A7","","","+16132279797"
"AF6EBE8D-D29D-4B88-8B19-A3EA7FCE3754","EVERYDAY FRESH FOOD","22 ANTARES DRIVE","OTTAWA","ON","K0A 2Z0","","","+16138382828"
"6558A53F-A5DF-4B09-AF30-DC95D031F621","HOCO BRANDS LTD","155  LORETTA STREET NORTH","OTTAWA","ON","K1Y 2J7","","","+16137252838"
"7863C152-F498-49A6-B2D4-D5225D574B43","BREW BYE YOU","780  BASELINE ROAD","OTTAWA","ON","K2C 3V8","","","+16132282282"
"8017EC0B-28B0-4103-A20C-E851345C1654","VINBELLA WINERY","15 GRENFELL CRESCENT","OTTAWA","ON","K2G 0G3","","","+16132252458"
"98B720E8-EA50-4633-A4A4-652E75D550D1","DARZAC FOODS","17 GRENFELL CRESCENT","OTTAWA","ON","K2G 0G3","","","+16138288777"
"2A7B00AB-4C2E-422B-8999-21D86F0684A5","INTERNATIONAL KAFIA COFFEE","842  BOYD AVENUE","OTTAWA","ON","K2A 2E1","","","+16137281337"
"AF0C0B8A-D03C-4C9B-A2B5-94507D57A966","BRIDGEHEAD ROASTERY","130 ANDERSON STREET","OTTAWA","ON","K1R 6T6","","","+16132331221"
"4624C59B-A73B-4C68-B389-5BBF4631C181","JFE JAPANESE FOOD EXPRESS","380  BRONSON AVENUE","OTTAWA","ON","K1R 6J6","","","+16134228237"
"31BB89E7-9BD8-4258-90EB-4FE8B5A46F72","MUSCA WINE PRESSING & SUPPLI","969  SOMERSET STREET WEST","OTTAWA","ON","K1R LR8","","","+16132355050"
"1C0A8C58-D0A9-45CB-BCF2-398286BABD71","WINE BOTTEGA","2026  TENTH LINE ROAD","OTTAWA","ON","K4A 4X4","","",""
"8F299E28-54AA-42B1-B7DA-13A3BB06D867","DEFALCO'S WINE CELLARS","2030  LANTHIER DRIVE","OTTAWA","ON","K4A 3V5","","",""
"335EC9AC-4459-46E1-8B5E-9F34BECF5C00","WINE ON TIME","990  RIVER ROAD","OTTAWA","ON","K4M 1B9","","","+16136922279"
