"business_id","date","code","description"
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20090922","",""
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20151210","NFS34","Every Operator of a food premise shall ensure that in respect of the food premise, [Sec. 59]
"
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20151210","NFS14","All food shall be protected from contamination and adulteration [Sec. 26]
"
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20160824","NFS09","Any article or piece of equipment that is used for the manufacture, distributing, sale or offering for sale, preparation, processing, handling, transportation, storage or display of food shall be,[Sec. 18] 
"
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20160824","NFS41","A test reagent for determining the concentration of sanitizer and an accurate thermometer to determine the temperature of the sanitizing solution shall be readily available where the sanitizing takes place [Sec. 75(2)] 
"
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20100318","",""
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20090918","",""
"000D41EB-7FF9-47FC-9E41-F7E2FB6D6F46","20101207","",""
"00144960-53C6-45AC-A562-880F1A4D2EC8","20130827","",""
"00144960-53C6-45AC-A562-880F1A4D2EC8","20110209","",""
"00144960-53C6-45AC-A562-880F1A4D2EC8","20120911","",""
"00144960-53C6-45AC-A562-880F1A4D2EC8","20120110","",""
"00144960-53C6-45AC-A562-880F1A4D2EC8","20160921","NFS09","Any article or piece of equipment that is used for the manufacture, distributing, sale or offering for sale, preparation, processing, handling, transportation, storage or display of food shall be,[Sec. 18] 
"
"00144960-53C6-45AC-A562-880F1A4D2EC8","20160921","NFS11","Cutting boards, blocks, tables, bowls, platters and churns of hardwood or other materials may be used where,[Sec. 19(2)]
"
"00144960-53C6-45AC-A562-880F1A4D2EC8","20160921","NFS34","Every Operator of a food premise shall ensure that in respect of the food premise, [Sec. 59]
"
"00317FD2-7C76-4E9E-8521-E413BD8F5A20","20140115","",""
"00317FD2-7C76-4E9E-8521-E413BD8F5A20","20160602","NFS41","A test reagent for determining the concentration of sanitizer and an accurate thermometer to determine the temperature of the sanitizing solution shall be readily available where the sanitizing takes place [Sec. 75(2)] 
"
"00317FD2-7C76-4E9E-8521-E413BD8F5A20","20160901","NFS41","A test reagent for determining the concentration of sanitizer and an accurate thermometer to determine the temperature of the sanitizing solution shall be readily available where the sanitizing takes place [Sec. 75(2)] 
"
"00317FD2-7C76-4E9E-8521-E413BD8F5A20","20160901","NFS44","Utensils that have been cleaned and sanitized shall be transported and stored in such a manner as to prevent contamination [Sec.81]
"
"00317FD2-7C76-4E9E-8521-E413BD8F5A20","20101027","",""
"0064AE50-4568-4DAC-AE43-C60DE9061538","20140123","",""
"0064AE50-4568-4DAC-AE43-C60DE9061538","20131023","",""
"0064AE50-4568-4DAC-AE43-C60DE9061538","20160317","NFS42","Mechanical equipment shall be, so constructed, designed and maintained that, [Sec. 77(a)] 
"
"0064AE50-4568-4DAC-AE43-C60DE9061538","20160906","NFS33","Every Operator of a food premise shall ensure that in respect of the food premise, [Sec. 59]
"
"0064AE50-4568-4DAC-AE43-C60DE9061538","20160906","NFS12","Every food premise shall be provided with:
"
"0064AE50-4568-4DAC-AE43-C60DE9061538","20160906","NFS14","All food shall be protected from contamination and adulteration [Sec. 26]
"
"0064AE50-4568-4DAC-AE43-C60DE9061538","20160906","NFS41","A test reagent for determining the concentration of sanitizer and an accurate thermometer to determine the temperature of the sanitizing solution shall be readily available where the sanitizing takes place [Sec. 75(2)] 
"
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20120807","",""
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20160809","NFS08","Hot holding: minimum of 60°C (140°F) after cooking / rapid re-heating [Sec.33] 
"
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20160809","NFS41","A test reagent for determining the concentration of sanitizer and an accurate thermometer to determine the temperature of the sanitizing solution shall be readily available where the sanitizing takes place [Sec. 75(2)] 
"
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20160809","NFS36","Toxic and poisonous substances required for maintenance of sanitary conditions shall be, [Sec.63] 
"
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20130911","",""
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20110124","",""
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20130613","",""
"009176AD-C9A0-4AF1-8E98-9D55F3A30E63","20140708","",""
"0099F765-B910-44C0-9371-ACD091935F83","20151217","NFS40","Utensils shall be sanitized by, [Sec. 75(1)] 
"
"0099F765-B910-44C0-9371-ACD091935F83","20151217","NFS04","Thermometers used to verify food preparation and storage temperatures [Sec.33(14)] 
"
"0099F765-B910-44C0-9371-ACD091935F83","20151217","NFS26","Every operator or employee who handles or comes in contact with food or with any utensil used in the manufacture, storage, display, sale or offering for sale, preparation, processing or service of food shall,[Sec.65(1)]
"
"0099F765-B910-44C0-9371-ACD091935F83","20151217","NFS14","All food shall be protected from contamination and adulteration [Sec. 26]
"
"0099F765-B910-44C0-9371-ACD091935F83","20151217","NFS08","Hot holding: minimum of 60°C (140°F) after cooking / rapid re-heating [Sec.33] 
"
"0099F765-B910-44C0-9371-ACD091935F83","20151217","NFS03","Food is held at 4°C (40°F) or less [Sec.33] 
"
"0099F765-B910-44C0-9371-ACD091935F83","20160414","NFS09","Any article or piece of equipment that is used for the manufacture, distributing, sale or offering for sale, preparation, processing, handling, transportation, storage or display of food shall be,[Sec. 18] 
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20110405","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20121026","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20100825","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20150312","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20140813","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20160310","NFS34","Every Operator of a food premise shall ensure that in respect of the food premise, [Sec. 59]
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20121023","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20110324","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20150306","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20160902","NFS03","Food is held at 4°C (40°F) or less [Sec.33] 
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20160902","NFS33","Every Operator of a food premise shall ensure that in respect of the food premise, [Sec. 59]
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20160902","NFS42","Mechanical equipment shall be, so constructed, designed and maintained that, [Sec. 77(a)] 
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20160902","NFS04","Thermometers used to verify food preparation and storage temperatures [Sec.33(14)] 
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20160902","NFS41","A test reagent for determining the concentration of sanitizer and an accurate thermometer to determine the temperature of the sanitizing solution shall be readily available where the sanitizing takes place [Sec. 75(2)] 
"
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20110331","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20130828","",""
"00B089D3-214E-4D0A-9681-AD36BDDF68EC","20120215","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20141029","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20140120","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20140521","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20100105","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20090407","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20141030","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20130117","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20130114","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20150724","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20090901","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20150225","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20140117","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20100901","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20130920","",""
"00CDB7E3-8908-42F7-AB15-0AD6E2A13D42","20130502","",""
"00DC7DFD-2A13-468E-9238-6343265620CF","20100209","",""
"00DC7DFD-2A13-468E-9238-6343265620CF","20101118","",""
"00DC7DFD-2A13-468E-9238-6343265620CF","20101117","",""
"00DC7DFD-2A13-468E-9238-6343265620CF","20101117","",""
"00DC7DFD-2A13-468E-9238-6343265620CF","20111031","",""
"00DD2FE2-676D-4E3A-B209-E8E14BC2FD77","20140416","",""
"00DD2FE2-676D-4E3A-B209-E8E14BC2FD77","20160112","NFS15","Food containers that are multi-service articles shall [Sec. 29]
"
"00DD2FE2-676D-4E3A-B209-E8E14BC2FD77","20140730","",""
"00DD2FE2-676D-4E3A-B209-E8E14BC2FD77","20130103","",""
